Treatment,Thorax,Longevity
Alone,0.64,40
Alone,0.7,37
Alone,0.72,44
Alone,0.72,47
Alone,0.72,47
Alone,0.76,47
Alone,0.78,68
Alone,0.8,47
Alone,0.84,54
Alone,0.84,61
Alone,0.84,71
Alone,0.84,75
Alone,0.84,89
Alone,0.88,58
Alone,0.88,59
Alone,0.88,62
Alone,0.88,79
Alone,0.88,96
Alone,0.92,58
Alone,0.92,62
Alone,0.92,70
Alone,0.92,72
Alone,0.92,75
Alone,0.92,96
Alone,0.94,75
Mated1,0.64,46
Mated1,0.68,42
Mated1,0.72,65
Mated1,0.76,46
Mated1,0.76,58
Mated1,0.8,42
Mated1,0.8,48
Mated1,0.8,58
Mated1,0.82,50
Mated1,0.82,80
Mated1,0.84,63
Mated1,0.84,65
Mated1,0.84,70
Mated1,0.84,70
Mated1,0.84,72
Mated1,0.84,97
Mated1,0.88,46
Mated1,0.88,56
Mated1,0.88,70
Mated1,0.88,70
Mated1,0.88,72
Mated1,0.88,76
Mated1,0.88,90
Mated1,0.92,76
Mated1,0.92,92
Mated8,0.64,35
Mated8,0.68,37
Mated8,0.68,49
Mated8,0.72,46
Mated8,0.72,63
Mated8,0.76,39
Mated8,0.76,46
Mated8,0.76,56
Mated8,0.76,63
Mated8,0.76,65
Mated8,0.8,56
Mated8,0.8,65
Mated8,0.8,70
Mated8,0.84,63
Mated8,0.84,65
Mated8,0.84,70
Mated8,0.84,77
Mated8,0.84,81
Mated8,0.84,86
Mated8,0.88,70
Mated8,0.88,70
Mated8,0.92,77
Mated8,0.92,77
Mated8,0.92,81
Mated8,0.94,77
Virg1,0.68,21
Virg1,0.68,40
Virg1,0.72,44
Virg1,0.76,54
Virg1,0.78,36
Virg1,0.8,40
Virg1,0.8,56
Virg1,0.8,60
Virg1,0.84,48
Virg1,0.84,53
Virg1,0.84,60
Virg1,0.84,60
Virg1,0.84,65
Virg1,0.84,68
Virg1,0.88,60
Virg1,0.88,81
Virg1,0.88,81
Virg1,0.9,48
Virg1,0.9,48
Virg1,0.9,56
Virg1,0.9,68
Virg1,0.9,75
Virg1,0.9,81
Virg1,0.92,48
Virg1,0.92,68
Virg8,0.64,16
Virg8,0.64,19
Virg8,0.68,19
Virg8,0.72,32
Virg8,0.72,33
Virg8,0.74,33
Virg8,0.76,30
Virg8,0.76,42
Virg8,0.76,42
Virg8,0.78,33
Virg8,0.8,26
Virg8,0.8,30
Virg8,0.82,40
Virg8,0.82,54
Virg8,0.84,34
Virg8,0.84,34
Virg8,0.84,47
Virg8,0.84,47
Virg8,0.88,42
Virg8,0.88,47
Virg8,0.88,54
Virg8,0.88,54
Virg8,0.88,56
Virg8,0.88,60
Virg8,0.92,44
