TaxonGrp,Species,Base-substitution Mutation rate,Total Genome size Mb,Protein-coding Genome Size Mb,Organism Mass at Maturity(ug DW),Ne,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Invertebrates,Acanthaster cf. solaris,0.00000000913000,383.80000,30.84281,,125000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bacteria,Acidobacterium capsulatum ATCC 51196,0.00000000012200,4.12736,3.60908,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Invertebrates,Acyrthosiphon pisum,0.00000000027000,533.64900,24.45050,500.0000,3951981,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bacteria,Agrobacterium tumefaciens C58,0.00000000029200,5.88706,5.00000,0.000000268,414787714,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Vertebrates,Ailurus fulgens,0.00000001310000,2342.93905,,1500000000,25033,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Vertebrates,Amphiprion ocellaris,0.00000000737000,880.72000,44.36658,1000000,107190,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Invertebrates,Anopheles coluzzii,0.00000000100000,266.00000,23.41389,350.0000,6673511,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Invertebrates,Anopheles stephensi,0.00000000136000,243.46000,23.64792,417.5000,2576965,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Vertebrates,Aotus nancymaae,0.00000000810000,2861.68000,34.59323,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Invertebrates,Apis mellifera ,0.00000000680000,231.15000,18.52146,22450.0000,163648,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Vertebrates,Aptenodytes forsteri,0.00000001410000,1254.35000,26.14956,8850000000,67944,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Vertebrates,Ara glaucogularis,0.00000001000000,1139.70000,,240000000,23988,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Vascular plants,Arabidopsis thaliana,0.00000000576900,119.70000,42.07000,26000.0000,252183,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Vertebrates,Arctocephalus gazella,0.00000000678000,2313.39000,,25500000000,110590,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bacteria,Bacillus subtilis NCIB3610,0.00000000032800,4.29548,3.74925,0.000000645,49580065,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Vertebrates,Balaena mysticetus,0.00000001200000,2298.35800,28.29390,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Vertebrates,Balaenoptera musculus,0.00000001240000,2374.87000,34.06219,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Vertebrates,Balaenoptera physalus,0.00000000880000,2462.77000,24.52663,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Unicellular eukaryotes,Bathycoccus prasinos RCC1105,0.00000000030200,15.07430,13.33990,0.000000764,18245231,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Vertebrates,Betta splendens,0.00000000497000,441.39000,42.96561,625000,185229,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Invertebrates,Bombus terrestris,0.00000000358000,392.96000,19.23846,300000.0000,173832,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Invertebrates,Bombyx mori,0.00000000410000,460.35000,,1416000.0000,582237,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Vertebrates,Bos taurus ,0.00000001087790,2711.21000,36.17318,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bacteria,Burkholderia cenocepacia HI2424,0.00000000013300,7.70284,6.65186,0.000000992,264360999,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Invertebrates,Caenorhabditis briggsae,0.00000000132770,104.00000,26.12014,0.1020,279619,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
