year,transect_id,site_id,lat,lon,facies,reef_name,plhcoral,family,scientific_name,length_cm,av.weight.g,animal_count
2016,577,46805,-22.23949,113.82363,Reef slope,Osprey,35,Acanthuridae,Acanthurus olivaceus,20,13.26903297,18
2018,1481,69427,-21.952949,113.914424,Reef slope,Mangrove,25,Acanthuridae,Acanthurus olivaceus,20,117.3739235,-0
2016,1994,69759,-21.91767,113.92545,Reef slope,Mangrove,20,Acanthuridae,Acanthurus olivaceus,25,67.3303647,8
2015,1469,69419,-22.003049,113.903999,Reef slope,Mangrove,20,Acanthuridae,Acanthurus olivaceus,25,527.3044032,1
2016,296,27665,-22.20186,113.83834,Reef slope,Osprey,30,Acanthuridae,Acanthurus olivaceus,20,5.421581678,50
2016,1996,69760,-21.911369,113.928053,Reef slope,Mangrove,5,Acanthuridae,Acanthurus olivaceus,20,266.8805094,1
2015,1944,69734,-21.85495,113.984551,Reef slope,Jurabi,10,Acanthuridae,Acanthurus olivaceus,25,50.54580643,11
2016,2000,69762,-21.90297,113.93295,Reef slope,Mangrove,20,Acanthuridae,Acanthurus olivaceus,25,572.7774446,2
2015,1994,69759,-21.91767,113.92545,Reef slope,Mangrove,10,Acanthuridae,Acanthurus olivaceus,25,36.58578616,14
2019,1970,69747,-21.927059,113.921493,Reef slope,Mangrove,20,Acanthuridae,Acanthurus olivaceus,20,38.3512614,5
2018,1505,69447,-21.851507,113.99014,Reef slope,Jurabi,15,Acanthuridae,Acanthurus olivaceus,15,92.73669328,2
2015,1493,69436,-21.861601,113.977145,Reef slope,Jurabi,1,Acanthuridae,Acanthurus olivaceus,25,536.8281413,0
2015,1996,69760,-21.911369,113.928053,Reef slope,Mangrove,5,Acanthuridae,Acanthurus dussumieri,20,44.09334454,6
2018,1936,69730,-21.847529,114.019003,Reef slope,Jurabi,5,Acanthuridae,Acanthurus olivaceus,30,213.2504713,3
2016,1996,69760,-21.911369,113.928053,Reef slope,Mangrove,5,Acanthuridae,Acanthurus olivaceus,20,268.5444677,1
2017,1944,69734,-21.85495,113.984551,Reef slope,Jurabi,30,Acanthuridae,Acanthurus olivaceus,35,1423.471788,-0
2019,1477,69425,-21.964397,113.912597,Reef slope,Mangrove,50,Acanthuridae,Acanthurus olivaceus,30,1011.488722,1
2016,1242,69180,-22.20064,113.83848,Reef slope,Osprey,25,Acanthuridae,Acanthurus dussumieri,30,366.5890934,5
2017,1938,69731,-21.849402,114.017349,Reef slope,Jurabi,5,Acanthuridae,Acanthurus dussumieri,30,98.38178661,8
2019,1946,69735,-21.869671,113.972379,Reef slope,Jurabi,25,Acanthuridae,Acanthurus dussumieri,25,216.2911927,2
2019,1507,69448,-21.857799,113.980959,Reef slope,Jurabi,60,Acanthuridae,Acanthurus dussumieri,30,390.9018043,1
2016,1477,69425,-21.964397,113.912597,Reef slope,Mangrove,40,Acanthuridae,Acanthurus dussumieri,30,77.12127532,9
2017,1994,69759,-21.91767,113.92545,Reef slope,Mangrove,10,Acanthuridae,Acanthurus olivaceus,20,234.1065918,2
2015,1950,69737,-21.852921,114.018259,Inshore,Jurabi,0,Acanthuridae,Acanthurus dussumieri,30,400.7261147,-0
2015,1505,69447,-21.851507,113.99014,Reef slope,Jurabi,5,Acanthuridae,Acanthurus dussumieri,30,92.65126283,10
2015,1554,69533,-22.21494,113.83396,Reef slope,Osprey,30,Acanthuridae,Acanthurus olivaceus,20,8.055786433,30
2017,571,46748,-22.22391,113.83043,Reef slope,Osprey,65,Acanthuridae,Acanthurus bariene,40,1104.109989,1
2016,1486,69430,-21.92184,113.922316,Reef slope,Mangrove,25,Acanthuridae,Acanthurus blochii,20,15.79508246,14
2015,1744,69588,-21.991283,113.921977,Bommie,Mangrove,15,Acanthuridae,Acanthurus blochii,10,4.96148916,5
2017,1944,69734,-21.85495,113.984551,Reef slope,Jurabi,30,Acanthuridae,Acanthurus olivaceus,30,165.0015968,3
2015,382,31487,-22.21801,113.83309,Reef slope,Osprey,25,Acanthuridae,Acanthurus olivaceus,25,492.7836025,3
2018,2000,69762,-21.90297,113.93295,Reef slope,Mangrove,45,Acanthuridae,Acanthurus olivaceus,20,40.04379679,7
2015,1486,69430,-21.92184,113.922316,Reef slope,Mangrove,15,Acanthuridae,Acanthurus olivaceus,25,14.84979857,32
2018,1238,69178,-22.20555,113.83667,Reef slope,Osprey,36,Acanthuridae,Acanthurus olivaceus,20,5.185328734,47
2016,2000,69762,-21.90297,113.93295,Reef slope,Mangrove,20,Acanthuridae,Acanthurus olivaceus,25,500.390296,3
