Region,Zone,TimeOfDay,Depth,Temperature,Biomass
Mine,Inshore,Day,25,30.24533731,0.166164037
Mine,Inshore,Day,75,29.41159802,0.323340006
Mine,Inshore,Day,125,29.88665755,0.133438249
Mine,Inshore,Day,175,29.29408464,0.327718808
Mine,Inshore,Day,225,29.49003507,0.218940132
Mine,Inshore,Day,25,31.43069466,1.694426403
Mine,Inshore,Day,75,29.93213301,0.524554334
Mine,Inshore,Day,120,28.07863733,1.050604191
Mine,Inshore,Day,160,27.69702781,2.08513152
Mine,Inshore,Day,200,30.37944594,0.096461168
Mine,Inshore,Day,25,29.30036532,0.286505199
Mine,Inshore,Day,75,28.23962199,0.167966407
Mine,Inshore,Day,125,31.06306924,0.162061338
Mine,Inshore,Day,175,29.00992708,0.169059938
Mine,Inshore,Day,225,29.54026456,0.080046491
Mine,Inshore,Day,25,30.55594323,0.65756513
Mine,Inshore,Day,75,28.50844769,0.37641624
Mine,Inshore,Day,125,30.15677952,0.181228379
Mine,Inshore,Day,175,28.38649376,0.252250311
Mine,Inshore,Day,225,29.23351158,0.134941671
Mine,Inshore,Night,25,28.67799013,0.385650852
Mine,Inshore,Night,75,27.8353196,0.462012602
Mine,Inshore,Night,125,30.53384033,0.104697242
Mine,Inshore,Night,175,29.76080327,0.068677549
Mine,Inshore,Night,225,29.46587739,0.09124989
Mine,Inshore,Night,25,27.88689165,0.550110745
Mine,Inshore,Night,75,30.64629765,0.331536313
Mine,Inshore,Night,125,28.2622708,1.165548843
Mine,Inshore,Night,175,29.08456667,0.135282059
Mine,Inshore,Night,225,28.16242731,0.19462107
Mine,Inshore,Night,25,30.81298902,0.613353793
Mine,Inshore,Night,75,28.55548226,2.330579163
Mine,Inshore,Night,125,27.61429131,0.279823733
Mine,Inshore,Night,175,29.56533439,0.158089393
Mine,Inshore,Night,225,31.0066798,0.074362606
Mine,Offshore,Day,450,29.04767304,0.349413025
Mine,Offshore,Day,350,29.1648138,0.11070996
Mine,Offshore,Day,250,29.4240929,0.046142737
Mine,Offshore,Day,150,28.41936431,0.033751048
Mine,Offshore,Day,50,27.93354032,0.023315941
Mine,Offshore,Day,450,29.7152267,0.277360936
Mine,Offshore,Day,350,27.66800221,0.025148681
Mine,Offshore,Day,250,27.55821166,0.077138743
Mine,Offshore,Day,150,27.69547221,0.020554211
Mine,Offshore,Day,50,28.73477918,0.051264619
Mine,Offshore,Day,50,28.12405798,0.313336823
Mine,Offshore,Day,150,30.80188396,0.088611909
Mine,Offshore,Day,250,28.93833758,0.041749842
Mine,Offshore,Day,350,30.09754049,0.035572569
Mine,Offshore,Day,450,27.67216145,0.023005015
Mine,Offshore,Night,50,30.59175091,0.340939704
Mine,Offshore,Night,150,30.15149736,0.059144788
Mine,Offshore,Night,250,28.68628016,0.057216154
Mine,Offshore,Night,350,27.2663056,0.019500637
Mine,Offshore,Night,450,30.6504677,0.046287226
Mine,Offshore,Night,50,29.36403329,0.439748151
Mine,Offshore,Night,150,28.85588591,0.046733535
Mine,Offshore,Night,250,29.58004228,0.043233666
Mine,Offshore,Night,350,29.12586325,0.036028055
Mine,Offshore,Night,450,27.90183154,0.02861657
Mine,Inshore,Night,50,28.91942039,0.44600434
Mine,Inshore,Night,150,28.70908593,0.11941183
Mine,Inshore,Night,250,29.21618486,0.078760994
Mine,Inshore,Night,350,29.58085231,0.087999821
Mine,Inshore,Night,450,28.25550164,0.026330655
Reference,Inshore,Day,25,29.94900789,0.211978689
Reference,Inshore,Day,75,28.69343378,1.399183551
Reference,Inshore,Day,125,30.25849444,0.086323353
Reference,Inshore,Day,175,28.84257908,0.043265182
Reference,Inshore,Day,225,28.30749345,0.092119645
Reference,Inshore,Day,25,29.17559635,0.171872875
Reference,Inshore,Day,75,28.82589786,0.159972223
Reference,Inshore,Day,125,27.52568443,0.083304563
Reference,Inshore,Day,175,29.0077265,0.038905977
Reference,Inshore,Day,225,30.70305071,0.095662932
Reference,Inshore,Day,25,28.21975895,0.281822202
Reference,Inshore,Day,75,30.59198591,0.258209481
Reference,Inshore,Day,125,29.43162523,0.067995892
Reference,Inshore,Day,175,29.14612369,0.102759065
Reference,Inshore,Day,225,28.40096276,0.110629972
Reference,Inshore,Night,25,30.39226068,0.564728316
Reference,Inshore,Night,75,29.83519758,0.220797541
Reference,Inshore,Night,125,29.92096641,0.132157656
Reference,Inshore,Night,175,29.02762624,0.055750878
Reference,Inshore,Night,225,28.98743969,0.058959561
Reference,Inshore,Night,25,28.47129673,0.567817517
Reference,Inshore,Night,75,29.19844177,0.209069051
Reference,Inshore,Night,125,29.55350281,0.139817667
Reference,Inshore,Night,175,28.36868661,0.224847847
