biomass,block,plot,timeSample,enclosure
174.0977031,1,1,0,N
167.1877031,1,1,1,N
214.8677031,1,1,2,N
208.8577031,1,1,3,N
141.162898,1,2,0,N
158.702898,1,2,1,N
166.892898,1,2,2,N
191.872898,1,2,3,N
119.3242313,1,3,0,N
212.3642313,1,3,1,N
184.1442313,1,3,2,N
215.6342313,1,3,3,N
193.9440271,1,4,0,Y
217.5540271,1,4,1,Y
243.9140271,1,4,2,Y
285.2040271,1,4,3,Y
174.5125006,1,5,0,Y
206.0625006,1,5,1,Y
254.3125006,1,5,2,Y
261.3925006,1,5,3,Y
187.799043,1,6,0,Y
224.649043,1,6,1,Y
237.939043,1,6,2,Y
223.099043,1,6,3,Y
167.0919015,2,7,0,N
186.8219015,2,7,1,N
198.9819015,2,7,2,N
211.9019015,2,7,3,N
160.1282732,2,8,0,N
135.8082732,2,8,1,N
219.7982732,2,8,2,N
218.9882732,2,8,3,N
129.4699501,2,9,0,N
220.7199501,2,9,1,N
195.2199501,2,9,2,N
241.4899501,2,9,3,N
204.4988571,2,10,0,Y
226.9988571,2,10,1,Y
304.2488571,2,10,2,Y
270.4788571,2,10,3,Y
155.2836368,2,11,0,Y
220.6936368,2,11,1,Y
273.7236368,2,11,2,Y
242.9136368,2,11,3,Y
187.2830186,2,12,0,Y
221.2330186,2,12,1,Y
232.2930186,2,12,2,Y
283.8430186,2,12,3,Y
144.9407543,3,13,0,N
149.6707543,3,13,1,N
98.08075433,3,13,2,N
124.8607543,3,13,3,N
116.6373968,3,14,0,N
154.0573968,3,14,1,N
140.1073968,3,14,2,N
173.0773968,3,14,3,N
114.2451345,3,15,0,N
170.8051345,3,15,1,N
165.9351345,3,15,2,N
213.9051345,3,15,3,N
128.307774,3,16,0,Y
216.637774,3,16,1,Y
260.537774,3,16,2,Y
190.697774,3,16,3,Y
148.687938,3,17,0,Y
191.007938,3,17,1,Y
191.967938,3,17,2,Y
175.017938,3,17,3,Y
163.5960809,3,18,0,Y
154.7960809,3,18,1,Y
217.6460809,3,18,2,Y
237.9360809,3,18,3,Y
178.3096652,4,19,0,N
180.5496652,4,19,1,N
216.4996652,4,19,2,N
243.5396652,4,19,3,N
143.7992655,4,20,0,N
147.3792655,4,20,1,N
210.9992655,4,20,2,N
227.8992655,4,20,3,N
153.0366562,4,21,0,N
173.7966562,4,21,1,N
250.0266562,4,21,2,N
223.8066562,4,21,3,N
173.7130768,4,22,0,Y
214.8930768,4,22,1,Y
293.0730768,4,22,2,Y
239.2230768,4,22,3,Y
184.7373402,4,23,0,Y
218.9373402,4,23,1,Y
254.3173402,4,23,2,Y
245.4573402,4,23,3,Y
182.6506951,4,24,0,Y
214.4206951,4,24,1,Y
264.7906951,4,24,2,Y
204.1506951,4,24,3,Y
187.3714323,5,25,0,N
177.7914323,5,25,1,N
229.3314323,5,25,2,N
225.8014323,5,25,3,N
217.9787031,5,26,0,N
221.5487031,5,26,1,N
207.8687031,5,26,2,N
220.3187031,5,26,3,N
154.2761788,5,27,0,N
184.3061788,5,27,1,N
181.9161788,5,27,2,N
176.6061788,5,27,3,N
171.1673034,5,28,0,Y
211.6973034,5,28,1,Y
225.4273034,5,28,2,Y
247.3473034,5,28,3,Y
123.5050257,5,29,0,Y
158.1850257,5,29,1,Y
209.3950257,5,29,2,Y
204.9950257,5,29,3,Y
166.0058939,5,30,0,Y
217.3158939,5,30,1,Y
249.7658939,5,30,2,Y
255.3458939,5,30,3,Y
143.8180467,6,31,0,N
142.7480467,6,31,1,N
136.1680467,6,31,2,N
177.6580467,6,31,3,N
175.8826346,6,32,0,N
180.5326346,6,32,1,N
191.5226346,6,32,2,N
189.9926346,6,32,3,N
206.2662914,6,33,0,N
197.3362914,6,33,1,N
193.0762914,6,33,2,N
223.1862914,6,33,3,N
118.8855297,6,34,0,Y
204.9655297,6,34,1,Y
253.4555297,6,34,2,Y
252.5955297,6,34,3,Y
126.7426306,6,35,0,Y
176.4126306,6,35,1,Y
213.7626306,6,35,2,Y
228.5426306,6,35,3,Y
171.9380154,6,36,0,Y
244.9880154,6,36,1,Y
265.3380154,6,36,2,Y
240.3480154,6,36,3,Y
