abundance,c_Log10Area,c_graze
5.3,-1.931934818,-0.982142857
2,-1.232964814,2.017857143
1.5,-1.232964814,2.017857143
17.1,-0.931934818,0.017857143
13.8,-0.931934818,2.017857143
14.1,-0.931934818,0.017857143
3.8,-0.931934818,2.017857143
2.2,-0.931934818,2.017857143
3.3,-0.931934818,1.017857143
3,-0.931934818,2.017857143
27.6,-0.630904822,0.017857143
1.8,-0.630904822,2.017857143
21.2,-0.630904822,-0.982142857
14.6,-0.630904822,-1.982142857
8,-0.630904822,2.017857143
3.5,-0.630904822,2.017857143
29,-0.454813563,0.017857143
2.9,-0.454813563,0.017857143
24.3,-0.329874827,0.017857143
19.4,-0.329874827,-0.982142857
24.4,-0.329874827,-0.982142857
5,-0.329874827,2.017857143
15.8,-0.232964814,0.017857143
25.3,-0.232964814,-1.982142857
19.5,-0.153783568,0.017857143
20.9,-0.153783568,0.017857143
16.3,-0.086836778,0.017857143
18.8,-0.086836778,1.017857143
19.9,-0.028844831,1.017857143
13,0.022307691,2.017857143
6.8,0.068065182,0.017857143
21.7,0.109457867,1.017857143
27.8,0.147246428,1.017857143
26.8,0.147246428,1.017857143
16.6,0.182008534,-0.982142857
30.4,0.244156441,0.017857143
11.5,0.298514103,2.017857143
26,0.323337687,-0.982142857
25.7,0.346818783,1.017857143
12.7,0.410487863,2.017857143
23.5,0.48303853,-1.982142857
24.9,0.53046318,0.017857143
29,0.57321516,-1.982142857
28.3,0.599544099,-1.982142857
28.3,0.670125173,-0.982142857
32,0.711517859,0.017857143
37.7,0.749306419,0.017857143
39.6,0.758261262,-1.982142857
29.6,0.767035186,-1.982142857
31,0.823940038,-1.982142857
34.4,1.050336415,-0.982142857
27.3,1.101488938,-1.982142857
30.5,1.19516998,-1.982142857
33,1.226427674,-1.982142857
29.5,2.056178022,-1.982142857
30.9,2.316283743,-1.982142857
