"ID","sire","dam","Sex","sex_nr","TotalLength","TailDepth","BodyDepth","HeadLength","SwimSpeed"
1,11,72,"M",1,27.1,3.8,6.4,16.5,86.65913028
2,15,80,"M",1,29,3.3,7.6,18.2,62.41366439
3,2,53,"F",2,33,3.5,9.4,20,63.820684
4,39,128,"M",1,29.3,3.5,7.2,18.4,62.29515198
6,33,115,"M",1,36.1,4.7,9.1,21.6,74.68141714
8,14,78,"F",2,25.4,3.2,8,16,69.07884474
9,13,76,"M",1,26.6,3.1,6.9,16.7,60.73116776
10,17,84,"F",2,40.5,5.1,11.1,24.4,39.27507681
11,9,68,"M",1,24.4,2.9,6.1,14.5,76.16600362
12,22,93,"F",2,29,4,9.5,18,65.4692039
13,23,95,"F",2,30,4,10,20,67.64216919
14,12,74,"F",2,36.3,4.6,12.5,25,75.61684071
15,20,89,"M",1,28.8,3.7,7.3,17.7,82.15829386
16,10,70,"F",2,39.5,4.4,10.5,22.2,33.97026838
17,42,133,"F",2,35,4.7,10,21.2,54.48243591
18,23,95,"M",1,33.6,4.2,8.8,20.1,100.1607906
19,8,66,"F",2,27.1,4,9,17.9,78.85463695
20,39,127,"M",1,28.7,3.6,7.3,17.7,69.65738304
21,21,92,"M",1,28.6,4,7.3,18.2,62.77190766
22,14,77,"F",2,28.6,4,10,18,74.38199282
23,19,88,"M",1,27.3,3.4,7.2,16.7,80.45682257
24,24,98,"F",2,34,4,10,22.5,45.93682654
25,33,115,"M",1,29.8,3.9,7.3,18.5,55.32642657
26,8,65,"M",1,23.9,3.8,6.9,15.4,86.54309549
27,19,88,"M",1,27.3,3.9,7.2,18.1,76.13092002
28,19,88,"M",1,28.8,3.9,7,17.5,60.60541986
29,12,74,"M",1,20.5,2.9,6.2,15.1,82.05877601
30,36,122,"M",1,30.3,3.9,7.6,18.4,70.60731357
31,16,82,"M",1,22.8,2.9,5.9,13.9,62.14814906
32,1,52,"M",1,19.8,2.4,5.8,11.8,72.97612967
33,6,61,"F",2,28.8,4.1,9.1,19.3,19.0798426
34,13,75,"F",2,27.4,4.4,9.2,18.1,60.65634338
35,36,121,"F",2,30.7,4,8.8,19.3,59.85221953
36,20,89,"F",2,29,3.9,9.2,19,72.92565813
38,31,111,"F",2,27.2,3.1,7.5,16.7,74.65084535
39,9,68,"F",2,29,3.7,9.5,19.1,38.80341046
40,37,123,"F",2,32,3.8,9,19.4,70.26521089
42,25,100,"F",2,34,4.8,12.5,23.2,48.64242101
43,22,93,"F",2,37,4.6,10,23.5,51.17720537
45,32,113,"F",2,31,3.4,9,20,54.20934155
47,34,117,"F",2,32.4,4,9.3,20.5,50.4594496
48,21,91,"F",2,31,3.7,9.3,19.9,63.08048164
49,8,66,"F",2,31.6,3.9,9,19.9,56.83165885
50,26,102,"F",2,32,4,10.5,19.4,38.71969541
51,25,100,"F",2,30,4.3,9.1,18.8,49.29050428
52,11,71,"F",2,30.7,4.5,10.5,20.3,50.57713429
53,10,70,"F",2,32.2,4.2,9.9,21.9,18.03301261
54,16,81,"F",2,23.1,3.2,7.4,14.7,72.8934915
56,9,68,"F",2,23.7,3.3,7.9,15.3,68.12038888
57,18,86,"F",2,31.2,3.8,9.4,20.5,53.37919757
58,37,123,"F",2,37.4,4.5,10.9,24,42.81090354
59,11,72,"F",2,29.4,4,9.1,18.5,56.48522444
60,18,86,"F",2,29.9,3.9,9.3,19.9,88.86521585
61,16,82,"F",2,26.8,3.2,7.9,17.3,49.91381932
62,29,107,"F",2,30,4.3,9.3,19.5,52.11738291
63,5,59,"F",2,20.7,2.9,6.8,13,74.5858169
64,33,116,"F",2,29.2,3.2,8.8,18.6,48.43531937
66,14,77,"M",1,28.5,3.7,7.5,17.6,72.39422
67,37,124,"M",1,28.4,3.3,7.3,16.8,73.62725961
68,28,106,"M",1,27.7,3.2,6.7,16.4,64.73926492
69,9,68,"M",1,21.5,2.9,6.3,14,70.70008925
70,23,95,"M",1,26.5,3.9,7.7,15.3,92.9765325
71,32,114,"M",1,28.6,3.4,7.2,16.6,64.34705043
72,4,57,"M",1,26.3,3.6,7.2,16.2,82.36296334
73,3,55,"M",1,25.9,3.4,6.6,15.5,82.95076614
74,14,78,"M",1,26.5,3.4,7.5,16.2,76.96673262
75,23,96,"M",1,18.1,2,5,11.1,73.50714262
76,18,86,"M",1,23,3.1,6.2,14.4,97.88319261
77,38,125,"F",2,33.7,3.9,10.9,20.8,30.89042073
78,20,90,"F",2,32.6,4,10.6,20.2,88.17015185
79,13,76,"F",2,30.8,3.5,9.9,19.3,33.52064439
80,38,126,"F",2,26.7,3.4,7.7,17.3,77.66328865
81,19,87,"F",2,32.4,3.3,10,20,47.86230276
82,29,108,"F",2,32.9,4.2,10.9,21.4,54.01312064
83,42,133,"F",2,34.9,3.8,11.7,23,21.8490113
84,40,129,"F",2,29.7,3.7,9.3,19.4,64.38833336
85,21,92,"F",2,28.2,3.4,8.5,17.9,62.21174096
86,14,78,"F",2,36.2,4.6,11.2,23.5,43.70713818
88,35,119,"F",2,25.7,3.1,7.4,15.9,73.65391048
89,13,75,"F",2,33.1,4.1,8.9,20.2,52.58146022
90,29,108,"F",2,35,4.1,11.2,22.4,42.01560537
91,7,64,"F",2,31.9,3.8,9.9,21.5,22.88164227
93,40,130,"F",2,33.3,3.4,8.9,20.4,42.52947525
94,5,59,"F",2,25.2,3.1,7.3,16.1,82.22612416
95,27,103,"F",2,23.6,3.1,7,14.9,82.59721613
96,41,132,"F",2,27.6,3.6,9.3,17.9,59.52194509
97,17,83,"F",2,30.8,3.8,9.5,18.9,59.91938172
98,24,98,"F",2,32.6,4.1,10.4,21.6,57.78178413
99,32,114,"F",2,24.5,2.9,7.4,15.7,76.73078922
100,6,62,"F",2,31.7,3.9,10.5,20.3,44.79078094
101,2,54,"M",1,23.9,2.7,7.6,14.9,62.96357028
102,25,99,"M",1,25.7,3.4,6.4,15.7,77.90968811
103,42,134,"M",1,32.9,4.1,8.9,20.9,77.32423888
104,32,113,"M",1,29.7,3.3,6.7,17.5,66.16527602
105,32,114,"M",1,29.4,4,7.1,17.2,70.59635891
106,23,95,"M",1,32.1,4.2,8.3,19.9,80.12489832
107,24,97,"M",1,28.9,3.2,7.8,18,55.30547737
108,21,91,"M",1,30.5,3.1,7.4,18.4,50.65416628
109,2,53,"M",1,25.9,2.6,6.7,15.6,62.71024513
